X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,label,damage_category,day_mon,day_sat,day_sun,day_thu,day_tue,day_wed,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep
7,5,4.468204330914934,26.2,94.3,1.8082887711792655,8.2,51,6.7,0,0.0,No damage,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,4,4.517431271680085,35.4,669.1,2.0412203288596382,18.0,33,0.9,0,0.0,No damage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,4,4.517431271680085,43.7,686.9,2.0412203288596382,14.6,33,1.3,0,0.0,No damage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,6,4.529368472571809,33.3,77.5,2.302585092994046,8.3,97,4.0,1,0.0,No damage,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,6,4.5031374604229395,51.3,102.2,2.3608540011180215,11.4,99,1.8,0,0.0,No damage,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,6,4.535820107853298,85.3,488.0,2.7536607123542622,22.2,29,5.4,0,0.0,No damage,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,6,4.535820107853298,88.9,495.6,2.2512917986064953,24.1,27,3.1,0,0.0,No damage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,6,4.52720864451838,145.4,608.2,2.4595888418037104,8.0,86,2.2,0,0.0,No damage,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,6,4.5217885770490405,129.5,692.6,2.0794415416798357,13.1,63,5.4,0,0.0,No damage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,5,4.537961436294641,88.0,698.6,2.0918640616783932,22.8,40,4.0,0,0.0,No damage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,5,4.537961436294641,88.0,698.6,2.0918640616783932,17.8,51,7.2,0,0.0,No damage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,5,4.541164856012179,73.2,713.0,3.1612467120315646,19.3,38,4.0,0,0.0,No damage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,5,4.520701029361641,126.5,686.5,2.0794415416798357,21.3,42,2.2,0,0.0,No damage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,5,4.542230386214217,133.3,699.6,2.322387720290225,26.4,21,4.5,0,0.0,No damage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,5,4.546481189639412,141.2,713.9,2.7013612129514133,22.9,44,5.4,0,0.0,No damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,4.529368472571809,35.8,80.8,2.174751721484161,15.1,27,5.4,0,0.0,No damage,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,5,4.45318382899021,32.8,664.2,1.3862943611198906,16.7,47,4.9,0,0.0,No damage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,4,4.502029427068578,27.9,70.8,1.9878743481543455,15.9,35,4.0,0,0.0,No damage,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6,4,4.469350462845556,27.4,97.1,1.8082887711792655,9.3,44,4.5,0,0.0,No damage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,4.5217885770490405,129.5,692.6,2.0794415416798357,18.3,40,2.7,0,0.0,No damage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,4,4.530446639792155,78.5,724.3,2.322387720290225,19.1,38,2.7,0,0.0,No damage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,4,4.557029810660157,96.3,200.0,4.044804116661965,21.0,44,4.5,0,0.0,No damage,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
